year_occurred,intersection,sum_ped,sum_bike,sum_fatal,sum_severe_inj
2011,ACADEMY DR+ACADEMY RD,1,0,0,0
2011,VIRGIL+5TH ST,1,0,0,0
2011,WASHINGTON+VERMONT,1,0,0,0
2012,11TH ST+ALVARADO ST,1,0,0,0
2012,11TH ST+BONNIE BRAE ST,0,1,0,1
2012,11TH ST+ELDEN AV,1,0,1,0
2012,11TH ST+UNION AV,0,1,0,0
2012,11TH ST+VALENCIA ST,1,0,0,0
2012,11TH ST+VERMONT AV,2,0,0,0
2012,11TH+GRANDVIEW,1,0,0,0
2012,12TH ST+UNION AV,0,1,0,0
2012,12TH+ALVARADO,1,0,0,0
2012,1500 W PICO BL+,0,1,0,0
2012,18TH ST+UNION AV,0,1,0,0
2012,20TH ST+WILMOT ST,1,0,0,0
2012,3RD ST+LUCAS AV,1,0,0,0
2012,3RD+BONNIE BRAE,0,1,0,0
2012,400 SHATTO PL+,1,0,0,0
2012,400 WITMER ST+,1,0,0,0
2012,4TH ST+SHATTO PL,1,0,0,0
2012,5600 N FIGUEROA ST+,0,1,0,0
2012,59TH+BENNER,1,0,0,0
2012,6TH ST+ALVARADO,1,0,0,0
2012,6TH ST+BONNIE BRAE ST,1,0,0,0
2012,6TH ST+BURLINGTON,1,0,0,0
2012,6TH ST+GRAND VIEW ST,1,0,0,0
2012,6TH ST+LOMA DR,0,1,0,0
2012,6TH ST+SAINT PAUL ST,1,0,0,0
2012,6TH ST+VALENCIA AV,1,0,0,0
2012,6TH+BURLINGTON,1,0,0,0
2012,700 S ALVARADO ST+,0,1,0,0
2012,77TH ST+UNION AV,1,0,0,0
2012,7TH ST+BEACON AV,1,0,0,0
2012,7TH ST+BIXEL ST,1,0,1,0
2012,7TH ST+BONNIE BRAE ST,0,1,0,0
2012,7TH ST+BURLINGTON AV,1,0,0,0
2012,7TH ST+COLUMBIA AV,0,1,0,0
2012,7TH ST+CORONADO,1,0,0,0
2012,7TH ST+GARLAND AV,1,0,0,0
2012,7TH ST+HOOVER ST,0,1,0,0
2012,7TH ST+MAGNOLIA AV,2,0,0,1
2012,7TH ST+PARK VIEW AV,0,1,0,0
2012,7TH ST+UNION AV,1,0,0,0
2012,7TH ST+UNION ST,1,0,0,0
2012,7TH ST+WESTLAKE AV,0,1,0,0
2012,7TH+WILSHIRE,1,0,0,0
2012,8TH ST+ALVARADO ST,2,0,0,0
2012,8TH ST+BEACON AV,0,1,0,0
2012,8TH ST+BURLINGTON AV,1,0,0,0
2012,8TH ST+CARONDELET ST,1,0,0,0
2012,8TH ST+CORONADO ST,1,0,0,0
2012,8TH ST+GRAND VIEW,1,0,0,0
2012,8TH ST+HARTFORD AV,1,0,0,1
2012,8TH ST+LAKE ST,1,0,0,0
2012,8TH ST+MAGNOLIA AV,2,0,0,2
2012,8TH+BURLINGTON,0,1,0,0
2012,8TH+GREEN,1,0,0,0
2012,ADAMS BL+FIGUEROA ST,0,1,0,0
